용어,설명
"개략조준 [槪略照準, Coarse sight]",가늠쇠 일부가 가늠자의 가늠구멍으로부터 보이도록 조준하는 것.
"개별동원 [個別動員, Individual Mobilization]",집단동원이나 부대단위동원 개념에 대응하는 것으로 동원지정시 배정지역 내의 소요자원 부족으로 타 지역 자원을 동원지정함으로써 소속 예비군부대와 별도로 동원지정된 소집부대에 개별 입영하는 것.
"개수작업명령 [改修作業命令, Modification work order]",장비개조 지시. 불량장비 보고를 기초로하여 주로 기지정비소에서 작성함.
"개인호 [個人壕, Rifle pit]",소총수가 엄폐하여 사격할 수 있도록 구축된 호로써 1인용과 2인용이 있음.
"개장조치 [改裝措置, Retrofit action]",사용 중인 항공기 또는 기타 장비품을 개장하거나 변경시키는 것.
"거리측정 [距離測定, Judging distance]",한 물체로부터 다른 물체 또는 관측자까지의 거리를 판단하는 것.
"건지저장 [乾地貯藏, dry storage]",선박이나 기타 부동장비를 건조한 땅에 저장하는 것.
"건함 [建艦, naval construction]",군함을 건조하는 것.
"건함경쟁 [建艦競爭, naval construction race]","해군국들이 군함을 많이 건조, 확보하려는 경쟁."
"게이브리얼 [Gabriel, GM]","이스라엘 해군의 함대함 미사일로써, 사정 22㎞와 41㎞ 두 가지 형이 있음."
"견습사관 [見習士官, officer attached to regiment for study, probational officer]",1. 장교로 임관되기 전에 부대에 배치되어 실무 훈련을 받는 사관생도. 2. 군사과업을 실지 수행하면서 배우는 초급장교 또는 사관생도.
"견제약낭 [絹製藥囊, powder silk]",대형포의 폭발장약을 담는 특수한 비단 주머니.
"민간필수품 [民間必需品, essential civilian supplies]","전시에 일어날 수 있는 질병 또는 인심의 불안을 방지하거나, 현지의 산업이 작전으로 인한 부당한 곤란을 받는 것을 방지하기 위하여 필요한 민수품."
"민사군정부대 [民事軍政部隊, civil affairs unit]",지휘관의 민사활동을 수행하기 위해 편성된 부대.
"박모공격 [薄暮攻擊, attack at dusk]",주간전투의 성과를 강화하고 적의 재편성시간을 탈취하기 위하여 EENT 후에 실시하는 공격.
"반공평화투쟁 [反共平和鬪爭, anti-communism peace struggle]",무력을 배제한 상태에서 공산당에 해당하는 투쟁.
"반자동추적 [半自動追跡, aided tracking]","목표를 추적하는 방식으로 동력의 일부 또는 전부가 전동구동(電動驅動)장치에 의하여 공급되며, 전동구동장치의 속도는 추적 핸들로 조정할 수 있음."
"반잠수정 [半潛水艇, Semi-Submarine Boat]",적의 레이더망에 포착되지 않고 해안에 침투할 수 있는 소형의 공작선으로 잠수시 수면으로부터 20~30㎝ 노출되며 노출부위는 반레이더 고무커버를 씌워 레이더에 포착되지 않음. 예를 들면 북괴가 공작선(자선)으로 개발한 반잠수정이 있음.
"반출능력 [搬出能力, Clearance Capacity]","가용한 내륙교통수단으로 해안이나 항구로부터 1일간에 내륙으로 수송할 수 있는 화물의 양을 적재톤 또는 중량톤의 단위로 표시한 능력판단. 내륙교통수단으로는 도로, 철도 및 내륙수로가 포함되며, 이 능력판단은 그 지역 내에 있는 수송시설의 구체적인 특성평가에 기초를 둠."
"발송명령 [發送命令, shipping order]","기술 특과감 또는 기술 특과 중앙보급소 및 재고통제소가 작성한 문서로서, 어느 한 보급창 또는 중앙조달기관에게 청구 받은 물품을 청구자에게 발송할 것을 지시하는 문서."
"발연기 [發煙機, Smoke Generator]","적의 관측으로부터 아군부대 및 차량, 시설물 등을 은폐하기 위해 넓은 지역을 연막으로 차폐시키는 장비."
"발화장치 [發火裝置, firing device]",1. 지뢰 및 부비트랩(booby trap)폭약의 주장약 및 폭파장약을 폭발시키는 발화기 및 스프링. 2. 로켓 발사 시 연소실에서 연료혼합물의 연소를 점화하는 데 사용하는 장비. 3. 통상 흑색 화약으로 되어 있으며 신관의 작용에 있어서 뇌관의 점화를 확대하는데 사용됨.
"발화준비신호 [發火準備信號, arming signal]",탄두를 발화 준비시키라는 미사일 유도장치로부터의 신호.
"방공구역 [防空區域, Air Defence Sector]","방공목적상 계획, 설정된 특정공역."
"방공동굴 [防空洞窟, bomb-proof cave]","적의 폭격으로부터 인원, 장비, 보급품을 보호할 수 있는 인공 또는 자연 땅굴."
"방공제한지역 [防空制限地域, Air Defense Restricted Area]",아군부대간의 방해를 방지하거나 또는 최소로 하기 위하여 특별한 제한대책이 사용되는 지역.
"방공훈련 [防空訓練, Air Defense Exercise]","적의 공중공격에 대한 적극적, 소극적 모든 대책 및 처리에 대한 훈련."
"방독면훈련 [防毒面訓練, gas mask drill]",지정된 시간 내에 방독면을 완전하게 착용하고 대피 및 임무를 수행하는 훈련.
"방벽부대 [防壁部隊, barrier forces]","적을 조기에 발견하여 신속히 경보하고 저지, 격파하기 위하여 예상되는 적의 진출로를 가로질러 배치한 항공, 육해상, 잠수함 부대 및 그 지원 부대."
"방사능측정조 [放射能測定組, radiation detection team]",화생방전 상황 하에서 부대에 편제된 방사능 측정기를 이용하여 방사능 탐지와 측정임무를 수행하는 요원.
"방사선상황도 [放射線狀況圖, radiation situation map]",낙진의 예상 및 방사능 측정 결과에 입각한 등강선 등을 기입한 상황도.
"방사선편차 [放射線偏差, radial displacement]","수직 항공사진 상에 있어서 고도를 갖는 모든 물체의 정점이 기선과의 관련에서 분명히 구부러져있든가, 또는 분명히 어긋나 있는 것. 어긋나 있는 방향은 직수면 상의 주점 내지는 선단 또는 기울임에 의하여 구부러진 수직 항공사진 상의 동심으로부터의 반경임."
"방성구 [防聲具, sound suppression equipment]",고성방가나 선동행위를 하는 자에게 대화를 할 수 없도록 입에 착용시키는 것.
"방송관제요격 [放送管制邀擊, broadcast-controlled air interception]",요격기가 적기의 공습에 관한 첩보를 방송을 통하여 계속적으로 받으며 더 이상의 통제 없이 실시하는 요격.
"방어거점 [防禦據點, key position in defense line]",편성된 방어진지 내에 있는 거점.
"방어탄막 [防禦彈幕, defensive barrage]",전방 기관총의 최후방어선을 연한 사각지대에 설치한 곡사포화의 집중화력지역.
"방어해역 [防禦海域, Defensive Sea Area]",선박의 통제와 보호를 위하여 통상 항만과 해협 및 접근로를 포함하여 설정되는 해역. 설정목적은 그 해역에 접경하고 있는 군사시설의 안전보호 그리고 지역 내에서 소요되는 기타의 안전보호책의 제공 등임.
"방위력 [防衛力, defense capacity]",국가를 방위하는 군사력의 정도.
"방위병 [防衛兵, standby replacement]",보충역으로 수집되어 기본교육을 필한 후 방위소집되어 실역에 복무하는 병사.
"방위분해각 [方位分解角, resolution in azimuth]",표적이 동일한 거리에 있을 때 2개 표적을 레이더 세프로 구분하기 위하여 방위각으로 분리해 놓은 각.
"방첩 [防諜, Counter Intelligence]",적성국의 정보활동 효과를 파괴하여 간첩에 대하여 방호하고 소요에 대하여 인원을 방호하고 전력파괴에 대하여 시설 또는 물자를 방호하기 위한 모든 활동을 망라하는 정보의 단계.
"방향오차 [方向誤差, lateral error]",탄착점이나 파열지점과 포복선 사이에 좌우로 생기는 수평거리상의 오차.
"고정화학무기 [固定化學武器, static weapon]",거치된 곳에서 화학제를 방출하는 화학무기.
"고층기상계 [高層氣象計, aerometeorogragh]",예로써 관측기구(觀測氣球)에 의한 것으로써 공중의 기온·습도·바람의 상태 등을 자동적으로 기록하는 기재.
경계층제어,"경계층 제어기계공학용어사전 경계층의 박리(剝雜)는 실속(失速)의 원인이 되고, 또 압력 저항을 증대시킨다. 이러한 폐해를 제거하기 위하여 경계층의 박리를 방지하는 것을 경계층 제어라고 한다. 날개면에 뚫은 작은 구멍으로 경계층의 공기를 흡입하는 것, 작은 구멍으로부터 다른 압축 공기를 분출시켜 압력 상승을 방지하는 것 등이 있다. 외국어..."
"고폭수류탄 [高爆手榴彈, defensive grenade]",엄체 내에서 사용하도록 장치된 고폭성 수류탄.
"골딘스키 섬 [-島, Goldinsky]",중국과 소련의 분쟁이 있었던 아무르강(흑룡강)의 섬.
"공개저항운동 [公開抵抗運動, overt resistance]","군 편성 기준에 의거 편성 및 훈련된 개인이나 집단이 공개적으로 행하는 저항 운동으로, 통상 유격전의 간접 전투력이 됨."
"공격방위각 [攻擊方位角, azimuth of attack]",공격방향을 방위각으로 표시하여 주는 것.
"공격비행로 [攻擊飛行路, assault flight route]",공격기가 공격대기지역에서 전투진지로 출격하기 위해 사용하는 적으로부터 은폐된 비행경로.
"공격전대 [攻擊戰隊, Attack Group]","상륙기동부대가 1개 이상의 상륙지역에서 작전시 구성되는 기동편성체로써 상륙전대의 수송, 보조상륙 및 초기지원을 위하여 돌격수송함정과 해군지원부대로 구성됨."
"공격제대 [攻擊梯隊, attack echelon]",제1선에서 공격하는 부대
"공격제파 [攻擊梯波, attack wave]",적에게 실제공격을 가하는 전투부대의 일부.
"공격조건 브라보 [攻擊條件-, attack condition bravo]",임박한 공격에 대한 매우 효과적 경고가 있을 때 발하는 주의.
"공군우주 공군부 [空軍宇宙 空軍部, AF space systems division]",미공군의 우주계획과 육해공군 및 항공우주국의 개발계획을 관리함.
"공군통신 근무부대 [空軍通信 勤務部隊, AF Communication Service]",전 공군의 통신 및 항행(航行) 지원시설에 대한 책임을 지며 특히 우주항공통신을 관리하는 부대.
"공대지면 미사일 [空對地面-, air-to-ground missile]",비행중인 항공기에서 지상 또는 수면표적에 대하여 발사하는 미사일.
"보급해역 [補給海域, Replenishment Area]",전술지휘관이 해상보급시에 선택한 해역으로 보급부대와 근접하고 기상 및 해상상태가 안전하며 적의 공격위협이 없는 해역.
"보병상륙정 [步兵上陸艇, landing craft]",보병이 사용하는 상륙정 주정.
"보병진지 [步兵陣地, infantry position]","화력과 근접전으로 적을 저지, 격멸, 구축하기 위하여 지상에 구축해 놓은 엄체."
"보병척후 [步兵斥候, infantry scout]",정찰대의 척후 임무를 띤 병사 또는 그 집단.
"보안정보부대 [保安情報部隊, security intelligence corps]",적의 간첩행위로부터 아군의 인원과 물자를 보호하는 부대.
"보조구조시설 [補助救助施設, secondary rescue facilities]","현지에 있는 비행장치에 준비된 항공기, 초고속 함정, 기타 구조임무에 적합한 항공, 해상, 수중 및 지상부대."
"보조기선 [補助基線, auxiliary base line]",기선의 길이를 산출하는 데 사용되는 기지거리선.
"보조상륙작전 [補助上陸作戰, subsidiary landing]",주 상륙을 지원할 목적으로 보통 지정된 상륙 지역 외부에서 실시하는 상륙 작전.
"보조품목 [補助品目, secondary item]",주요 화기 및 장비 등 필수품목으로 분류되어있지 않은 모든 품목.
보트 [boat],함상에 실을 수 있는 간편하고 작은 주정 또는 얕은 수역에서 인원 및 장비 혹은 보급품을 수송하기 위하여 사용하는 배.
"복식전령 [複式傳令, double messenger]",두 사람의 전령이 한꺼번에 적의 복병이나 또는 적의 사격을 받는 일이 없도록 충분한 거리를 두고 떨어져서 임무를 수행하는 전령방식.
"복원령 [復員令, demobilization order]",전시편제 군대를 평시편제로 돌리고 소집을 해제하는 명령.
"부각 [俯角, depression angle]",수평면 이하로 조준할 때 수평선과 총(포)신축선이 이루는 수직각.
"부대령 [部隊令, Troop Order]","국방부 직할부대 및 각군 예하사단급(소장급 지휘기준) 이상 부대의 설치근거가 되는 대통령령을 말하며, 부대의 설치목적 및 임무, 지휘관과 그 보좌기구 및 참모부서의 설치근거와 정원 책정에 관한 사항 등을 포함."
"부대수리 [部隊修理, organization repairing]",사용 부대에서 장비의 고장을 수리하는 것.
"공중표적 집성사진 [空中標的集成寫眞, Air Target Mosaic]",어떤 지역을 촬영하여 그 목표의 상세한 부분을 적절하게 묘사하여 잘 이해하도록 한 대형 사진. 이 사진들은 정보연구와 항공작전의 계획과 브리핑을 위하여 사용됨.
"공중회랑 [空中回廊, Air Corridor]","아군 사격에 의한 아군 항공기의 안전을 위해 비행로에 연해서 폭, 고도, 길이로써 표시된 공간. 이 지역에 대한 비행은 설치권자의 사전승인 없이는 비행할 수 없음."
"공항통행영역 [空航通行領域, airport traffic area]","관제탑이 활동하고 있는 공항의 지리적 중심점에서 수평으로 5마일 반경과 지표면으로부터 수직 2,000피트까지의 공역(空域)."
"관리분석 [管理分析, management analysis]",관리적인 시행상태를 논리적으로 나누어 가리는 것.
"광학무기 [光學武器, optical weapons]",레이저 광선과 같이 광학을 발전시켜 군사 무기화한 것.
"교란사격 [攪亂射擊, fire harassing]","적의 휴식, 재집결, 이동을 방지하기 위하여 수시로 사격하는 것."
"교범수정 [敎範修正, manual amendment]","군사교범을 새로운 교리에 적합하게 내용의 일부를 수정, 삽입, 삭제하는 것."
"교정조치 [交戰措置, corrective action]",총기 따위의 일시적 기능 장애로 탄환이 불발했을 때 취하는 응급조치.
"교차배속 [交叉配屬, cross attachment]","부대 간 예하부대를 임시 기간 동안 교환하는 것으로, 예컨대 전차대대에서 1개 전차중대를 분리하여 기계화 보병대대에 배속하는 것."
"구두명령 [口頭命令, dictated order, oral order]",1. 구두로 하달된 명령으로 수령자는 축어적(逐語的)으로 기입함. 2. 문서로 명령을 작성할 시간이 충분치 못할 때 구두로 임무를 부여하는 것. 3. 소부대에서는 통상 지휘자가 구두로 명령을 하달함.
"구두유언 [口頭遺言, military testament]",1. 현역군인에게 허용된 구두유언. 2. 전장에서 군인이 남기는 구두유언.
"구역주사 [區域走査, sector scanning]",제한된 각도 내에서 이루어지는 레이더 안테나의 왕복 운동.
"구조원 [救助員, rescue crew]",고도로 훈련된 구조 전문 인원.
"구조잠수함 [救助潛水艦, Salvage Submarine]","적의 저항, 우군기지로부터의 거리 혹은 기타 이유로 항공 및 수상 구조시설로써는 적절한 탐색구조 작전이 불가한 지역에서 구조목적에 사용되는 잠수함."
"구조협조본부 [救助協調本部, Rescue Coordination Center]","전구항공통제본부 내의 구조관계 전담 협조부서이며, 구조협조의 핵심부서로써 모든 구조 작전에 관한 임무를 접수하고 계획, 지시 및 통제하는 중추적 기구."
"국가목적 [國家目的, National Purpose]","한 주권국가의 생존과 번영을 성취하기 위한 국민적 또는 국가적 열망을 이론적 체계화 과정을 거쳐 헌법, 법률 및 선언 등을 통하여 표방하는 한 주권국가 존립에 있어 양보할 수 없는 목적."
"국가병참 [國家兵站, national logistics]","국가가 전쟁을 수행하기 위하여 필요한 인원, 물자, 시설 및 모든 생산, 취득, 배분, 이동 등을 국가 차원에서 계획하고 처리하는 것."
"국가총동원 [國家總動員, total mobilization, national general mobilization]","1. 비상사태로 인한 소요에 대응하기 위하여 현역 및 예비군 체제 이외에 추가적으로 부대 또는 인원을 조직하거나 편성하여 현역군을 증원시키며, 이러한 부대를 편성 및 유지하는데 필요한 국가 총 자원을 동원하는 것. 2. 국가비상시에 총력전을 수행하기 위하여 인적, 물적 모든 자원을 동원하는 것."
"국립묘지 [國立墓地, national cemetery]","군인, 경찰, 공인된 국가 유공자의 사망 후 영현을 안장하는 묘지."
"국방정책 [國防政策, National Defense Policy]","국가안전보장정책의 일부로써 외부로부터의 위협이나 침략에 대해 국가의 생존을 보호하기 위하여 군사, 비군사에 걸쳐 각종 수단을 유지, 조성 및 운용하는 정책."
"국제부호법 [國際符號法, international code]",국가 간의 통신을 위하여 여러 나라가 채택한 신호법.
"국지방호 [局地防護, local protection]",자기 부대를 적의 공격이나 기습으로부터 방호하려는 수단.
"국지비행 [局地飛行, local flight]","출발 지점으로 다시 돌아와 끝마치게 하려는 국지 비행, 또는 지역 내에서 비행하는 항공기 비행."
"군기경례 [軍旗敬禮, colors]",군기 또는 기를 약간 숙였다가 올리는 경례.
"군단정비지역 [軍團整備地域, corps maintenance area]",군단의 정비시설이 위치하고 정비를 실시하는 군단의 후방지역.
"군법회의명령 [軍法會議命令, court-martial order]",군법회의에서 심리결과를 공표하는 명령.
"군비관리 [軍備管理, arms control]","1. 명시적 또는 묵시적 국제협정에 의거 다음 각 항을 관장하는 모든 계획, 준비 또는 처리하는 것. (a) 무기체계의 수, 종류 및 성능특성(그 지휘 및 통제, 군수지원 준비 및 모든 관련정보수집기관을 포함함) (b) 당사 제국이 보유하는 군대의 병력, 편제, 장비, 배치 또는 운용(여기에는 군비축소(disarmament)가 포함됨) 2. 어떤 경우에는 군사환경의 불..."
"군사전략 [軍事戰略, Military Strategy]",1. 국가목표를 달성하기 위하여 군사적인 수단을 효과적으로 준비하고 계획하며 운용하는 방책. 2. 전시와 평시에 군사적인 목표를 달성하기 위해서 직접 또는 간접적인 군사수단을 활용하는 행동과 정상의 사고방법.
"군사제재 [軍事制裁, military sanction]",대립하는 한 국가의 과오를 군사력을 사용하여 나무라거나 응징하는 것.
"군사특기분야 [軍事特技分野, military occupation area]","동일한 기본 적성, 기술, 지식 및 능력을 요하는 초급특기군(entry group)의 일군."
"상륙군 하선장교 [上陸軍下船將校, Troop Debarkation Officer]",함교에서 수송함의 하선장교와 협조하는 상륙부대의 장교.
"상륙돌격함정 [上陸突擊艦艇, Amphibious Assault Ship]","병력, 장비 및 보급품을 탑재하여 헬리콥터에 의해서 상륙시키도록 설계된 함정. 그중에는 공격항공모함(CVA), 지원항공모함(CVS)이 포함됨."
"상륙정찰 [上陸偵察, Amphibious Reconnaissance]","첩보를 획득할 목적으로 무력보다는 비밀리에 소규모 부대가 해상으로부터 적 해안에 상륙하여 실시하는 정찰이며, 계획된 철수가 뒤따름."
"상륙주정 및 상륙장갑차 할당표 [上陸舟艇-上陸裝甲車割當表, Landing Craft and Amphibious Vehicle Assignment Table]",함안이동을 위하여 인원과 물자를 각 상륙주정 및 상륙장갑차에 할당하고 상륙주정과 상륙장갑차를 주파에 할당하는 것을 표시한 도표.
"상륙주정 이용가능표 [上陸舟艇利用可能表, Landing Craft Availability Table]",수송전대의 각 함정으로부터 이용 가능한 상륙주정의 종류와 수를 표기한 도표. 이 표는 함안이동을 위하여 상륙주정을 주정단에 할당하는 근거가 되며 수송전대 지휘관이 작성함.
"상호지원근무 [相互支援勤務, Cross Servicing]",일개군이 타군을 지원하기 위하여 수행되는 기능. 이는 피지원군에 대해 지원에 대한 상환이 요구됨.
"상황보고구역 [狀況報告區域, summary areas]",연습실시관이 매일 개별적인 추정위치를 요약하고 적정에 관한 요약된 통신물을 제공하는 해상의 지정된 구역.
"상황판 [狀況板, briefing board]",1. 한 부대의 모든 상황을 기입하여 부대장 및 관계장교가 상황을 설명하고 판단하는 데 용이하도록 만들어진 도판. 2. 상황을 그때 그때 기입하는 판.
"생물학무기 [生物學武器, Biological Weapon]","병원 매개체를 포함한 생물학적 작용제(질병 매개물)를 발사, 분산 또는 전파시키기 위해 만들어진 무기."
"생존지원 [生存支援, survivability support]","방호진지를 구축하여 전투부대의 생존성을 증대시키고 적의 관측과 화력효과를 감소시키기 위해 위장, 기만 등 대 감시수단을 제공하는 기능."
"선단표시 [船團表示, convoy title]","출발항 및 도착항, 속도, 각 수송선의 통행번호 등을 표시하는 문자와 수자의 조합."
"선도기 [先導機, Lead Aircraft, Pathfinder Aircraft]",1. 비행중에 편대 내의 타 항공기를 지휘하도록 지정된 항공기. 2. 비행중인 2대 이상의 항공기의 선두에 위치한 항공기. 3. 착륙지대 표지반과 표적표지 또는 항법보조물을 운반하기 위하여 특별히 훈련된 승무원을 갖춘 항공기.
"선동 [煽動, Sedition]","아군의 작전 또는 성공을 방해하고 적의 성공을 추진시키려는 의도 하에 고의로 풍문 또는 성명서를 만들어 전파하는 행위. 군대 내에서 고의적인 반항, 불충실, 항명 또는 의무의 거부행위 또는 징병업무나 병역근무를 고의적으로 방해하는 행위."
"선박적하목록 [船舶積荷目錄, Ocean Manifest]",선박에 적재된 화물을 쉽게 식별할 수 있도록 모든 적절한 제원을 상세하게 기록한 문서.
"선임권제도 [先任權制度, seniority system]",한 지역에 여러 부대가 있을 때 선임자가 지휘권을 갖는 제도.
"기동연습 [機動演習, maneuver]","1. 적과의 상대적 위치를 고려하여, 선박, 부대, 물자 또는 화려 등을 보다 유리한 위치에 배치시키기 위한 이동. 2. 실전을 모의해서 실시하는 전술적 연습."
"기동전개 [機動展開, evolution]",부대가 한 위치 또는 대형에서 다른 위치나 대형으로 변경할 때의 기동 또는 이동.
"기뢰 [機雷, Mine]","『기뢰수뢰』의 준말로 바다 속에 부설되어 함정의 접촉, 또는 자기나 음향 등에 감응해 적의 함정을 파괴하는 수중 무기. 부설위치에 따라 계류기뢰, 부유기뢰 및 해저기뢰 등으로 분류하며 감응폭발장치에 따라 접촉기뢰, 압력기뢰, 음향기뢰, 자기기뢰 및 복합기뢰로 분류함."
"기만총안 [欺瞞銃眼, dummy loophole]",적의 사격을 오도하기 위하여 만든 총알.
"기본계획지침 [基本計劃指針, basic planning guide]",공수작전을 위하여 항공기 소요량을 결정하는데 필요한 계획의 기본지침.
"기본식량 [基本食糧, basic ration]",최저표준을 유지하는 데 필요한 식량으로 칼로리(cal) 또는 영양 함유량으로써 표시됨.
"기상요격장치 [機上邀擊裝置, airborne interception equipment]",요격기에 설치된 레이더를 포함한 화기의 통제체계.
"기수상승공격 [機首上昇攻擊, snap-up attack]","10,000ft 정도 상공에 있는 적기에 대하여 제트기가 요격할 때 기수를 올린 직후 실시하는 공대공 미사일 공격."
"기상요소 [meteorological element, 氣象要素, きしょうようそ]","기상요소농업용어사전: 농촌진흥청 어느 시점의 대기상태를 나타내는 요소를 말함. 기압, 기온, 습도, 풍향, 풍속, 구름량, 구름모양, 강수량, 뇌우, 안개 등이 중요 요소이며, 기상요소는 여러 종류가 있고, 또 이들은 상호관련이 있으므로 지표로서 유효 적절한 요소를 선택해서 계속 관측하고 있음. 외국어 표기 meteorological element(영어), weather ele..."
"기술첩보 [技術諜報, Technical Information]","탄약의 정비와 또는 다른 군대 보급품과 장비에 관련되는 조사, 연구개발, 공학, 시험, 평가, 생산, 운용 및 사용 등에 과학적인 정보를 포함하는 첩보."
"기지병기창 [基地兵器廠, Base Ordnance Depot]","전구 내에 위치하여 병기 수리, 조달, 보관, 정비를 하는 부대."
"기초유격 [基礎遊擊, ranger training]",본격적인 유격 훈련 전에 기초적인 유격 장애물 16가지를 익혀 체력을 단련하고 자신감을 배양하는 훈련.
"기폭관 [起爆管, primer detonator]",뇌관과 폭발장치로 된 결합장치.
"기폭망 [起爆網, detonating net]",그물 모양으로 교차되어 있는 도폭선의 망상 조직.
"방형폭파약 [block, triton block TNT, 方形爆破藥]",방형폭파약군사용어사전 압축한 TNT의 방형 약으로서 폭파용으로 사용됨. 방형폭파약군사용어사전 동시에 폭발하도록 연결해 놓은 폭발단위의 집단.
"긴급구조정 [緊急救助艇, emergency rescue]",물에 떨어진 사람을 급히 구하기 위해 뱃전 옆에 매달아 놓은 작은 배.
"긴급보급품 [緊急補給品, Critical Supplies]","함안이동 초기에 보충보급을 위한 긴급요소를 충족시키기 위하여 지휘관이 사전에 계획한 보급품으로 육상부대에 즉각적인 보급이 가능해야 하며, 긴급보급품은 해상덤프와 헬기수송 긴급보급품으로 구분됨."
"긴급함대 작전기지 [緊急艦隊 作戰基地, emergency fleet operating base]","제한된 기간 중, 한 지역에서 작전하는 함대를 위하여 군수지원을 제공하는 기지."
"낙오자초소 [落伍者哨所, Straggler Post]","낙오자의 수집, 후송, 정리를 위하여 낙오자 선상에 설정된 헌병초소."
"낙하산투하 [落下傘投下, parachute delivery]","인원, 장비 및 보급품을 목적지 상공의 적당한 고도에서 낙하산을 이용하여 안전하게 떨어뜨리는 것."
"낙하착륙 [落下着陸, pancake landing]",1. 실속하여 낙하하는 것처럼 수평으로 착륙 하는 것. 2. 전진속도가 감소되어 수직방향으로 침하하는 접지.
"난간적재 [欄干積載, loading rail]",상륙작전 수행 중 단정을 해상에 내리기 전에 갑판상에서 미리 적재하는 것.
"내부구경 [內部口徑, inside diameter]",총·포신 강선 내의 구경.
"내부장벽 [內部障壁, Intermediate Barrier]",전방 및 후방 장벽 사이에 설치하는 장벽으로써 사단급 이하부대 사이에 설치됨. 이는 방어지역에 대한 적의 침투를 제한하고 선정된 표적지역으로 적을 유인하고 방어지역에 있는 적의 후방이동을 방지하기 위하여 계획됨.
"내부책략 [內部策略, interior maneuver]","외부책략에 의해서 조성된 행동의 자유영역을 바탕으로 분쟁지역 내에서 이루어지는 책략으로써, 월등히 우세한 군사력으로 중간목표를 신속히 탈취하여 기정사실화하는 작전을 사용하는 단편적 방법과 공산주의자들이 사용하는 게릴라전식 침식방법을 아울러 구사하는 전략."
네트워크 [Network],"1. 데이터 통신 시스템에 있어서 단말기(컴퓨터 포함)를 접속하기 위해 쓰여지는 기기(예를 들면 전송기기, 교환기) 및 선로 등으로 구성되는 전송매체. 2. 계획분석검토기법(PERT)을 사용하는 경우 어떤 시스템을 도표화한 것. 3. 회로망"
"노획 [鹵獲, Booty]",전투행위 결과로 적의 물자를 획득하는 것.
"뇌관삽입실 [雷管揷入室, primer seat]","뇌관을 고정시키는 삽입실로써, 분리 장전탄을 사격하는 포의 폐쇄장치."
"능동전자공격 [能動電子攻擊, Active Electronic Attack]","적의 전자적 탐지, 통제는 물론 통신장비나 통신체계를 고의적인 방해나 기만을 통하여 약화 또는 무력화시키는 행위."
"다궤도폭격체계 [多軌道爆擊體系, multiple orbital bombardment system]","인공위성처럼, 지구를 몇 번이고 돌면서, 임의 시기와 장소에서 대기권에 재돌입하여 핵공격을 가하는 것."
암스트롱 [armstrong],항공지원레이더 반의 고유용어로 무장 및 신관 회로작동에 사용되는 지령과 응답을 나타냄.
애크로제트 [acrojet],조종사가 제트기로 행하는 특수비행으로서 미국 애리조나주 윌리암 공군기지의 조종훈련비행단에서 1~5명으로 편성된 특수비행반이 행하는 비행과 같은 것.
"양익포위 [兩翼包圍, Double Envelopment]",적 후방에 있는 목표나 적 측방을 공격하기 위해 적 진지의 양 측방으로 기동하는 포위 기동형태로서 적 부대는 통상 조공이나 간접사격 혹은 항공사격에 의해 진지에 고착됨.
"어뢰간섭구역 [魚雷干涉區域, Torpedo Interference Area/DOG BOX]",자함에서 어뢰공격시 자함과 우군 함정에 위험이 초래될 수 있는 구역.
"연결작전 [連結作戰, Link-Up Operation]","2개의 지상부대가 합류하는 작전. 공정작전, 상륙작전, 해안작전, 공중기동작전 또는 침투작전에서 고립부대와 연결, 포위된 부대의 탈출 또는 분리된 부대의 합류에서 연결작전이 발생함."
"연막작전 [煙幕作戰, smoke screening operation]",우군의 활동과 위치를 적이 관측하지 못하도록 취하는 작전.
"연안작전 [沿岸作戰, Inshore Operations]",1. 지리적 또는 수로조건이 함정 또는 잠수함의 이동에 영향을 주는 해역에서 실시하는 작전. 2. 연안의 육상 또는 접변에서 적의 상륙 또는 도섭을 거부하기 위한 작전.
"연안호송선단 [沿岸護送船團, Coastal Convoy]",항해가 일반적으로 연해에서 이루어지며 출발 및 도착항구가 동일국 내에 위치하고 있는 선단.
"연합군 [聯合軍, Combined Force]",2개 혹은 그 이상의 동맹국의 병력으로 구성된 군대.
"연합항공부대 [聯合航空部隊, Combined Aviation Force]",지상구성군사령관 통제 하에 육군항공 작전지원을 위한 부대로서 DEF-Ⅲ시 국가통수/군사지휘기구(NCMA) 승인 하에 연합사에 작전통제되며 구성은 한국 항공사 및 미 항공여단 전투력으로 편성함.
"영구형 화생방대피호 [永久型化生放待避壕, Permanent Nbc Protection Shelter]","화생방대피호의 일종으로서 어떠한 상황에서도 능히 보호할 수 있는 완전한 대피호이며, 이 중 공기폐쇄소와 인체제독소 및 대피실을 갖추고 각종 집단보호장비를 설치한 대피호임."
"영사 [營舍, base camp]",부대가 임시로 이곳을 근거지로 하여 교육훈련을 하는 영구 또는 반영구 주둔지로 숙영지와는 다르다.
"영시 [零時, Zero Hour]","모든 해군작전(출·입항, 기뢰작전, 대잠작전, 상륙작전, 항공작전, 회피항행 등)의 계획이 시작되는 시간으로 출항시는 전술지휘관 또는 지정함이 기러기점('A'점)을 통과하게 되는 시간. 입항시에는 전술지휘관 또는 지정함이 미나리점('X'점)을 통과하게 되는 시간이며, 대잠전 탐색계획 집행시는 탐색함정들의 중앙이 데이텀(Datum)을 통과하는 시간..."
